'state','num'
'Alaska',22
'Alabama',98
'Arkansas
'Arizona',84
'California',438
'Colorado',124
'Connecticut',13
'Delaware',5
'Florida',324
'Georgia',132
'Iowa',76
'Idaho',86
'Illinois',298
'Indiana',78
'Kansas',43
'Kentucky',110
'Louisiana',43
'Massachusetts',35
'Maryland',35
'Maine',17
'Michigan',217
'Minnesota',73
'Missouri',145
'Mississippi',23
'Montana',46
'North Carolina',96
'North Dakota',6
'Nebraska',14
'New Hampshire',16
'New Jersey',70
'New Mexico',42
'Nevada',9
'New York',107
'Ohio',288
'Oklahoma',95
'Oregon',249
'Pennsylvania',116
'Rhode Island',5
'South Carolina',52
'South Dakota',17
'Tennessee',99
'Texas',237
'Utah',70
'Virginia',77
'Vermont',9
'Washington',655
'Wisconsin',98
'West Virginia',101
'Wyoming',28
